0.6191187327144214, {'Coach Tourney Appearances', 'Turnovers per game', 'FG%', 'Win %'}
0.6178990808959168, {'Coach Tourney Appearances', 'Wins Last 10 Games', 'FG%', 'Win %'}
0.629207716784457, {'Coach Tourney Appearances', 'Coach Record', 'FG%', 'Win %'}
0.6291329551960549, {'Won a Major Conference', 'Coach Tourney Appearances', 'FG%', 'Win %'}
0.5763635635353689, {'Seed', 'Coach Tourney Appearances', 'FG%', 'Win %'}
0.61932278609733, {'Coach Tourney Appearances', 'Rebounds', 'FG%', 'Win %'}
0.613505681424679, {'Coach Tourney Appearances', 'Turnovers per game', 'FG%', 'Major Conference'}
0.6276848823478209, {'Coach Tourney Appearances', 'Coach Record', 'FG%', 'Major Conference'}
0.6115837281909722, {'Coach Tourney Appearances', 'Wins Last 10 Games', 'FG%', 'Major Conference'}
0.6198959418978393, {'Coach Tourney Appearances', 'Rebounds', 'FG%', 'Major Conference'}
0.5765451870923683, {'Seed', 'Coach Tourney Appearances', 'FG%', 'Major Conference'}
0.627737029420303, {'Won a Major Conference', 'Coach Tourney Appearances', 'FG%', 'Major Conference'}
0.6088933856178427, {'Wins Last 10 Games', 'Coach Tourney Appearances', 'Turnovers per game', 'FG%'}
0.6192579080349796, {'Coach Tourney Appearances', 'Turnovers per game', 'FG%', 'Coach Record'}
0.5755413238443408, {'Seed', 'Coach Tourney Appearances', 'Turnovers per game', 'FG%'}
0.6193096663049911, {'Won a Major Conference', 'Coach Tourney Appearances', 'Turnovers per game', 'FG%'}
0.6089491744312479, {'Coach Tourney Appearances', 'Turnovers per game', 'Rebounds', 'FG%'}
0.6180080210558048, {'Coach Tourney Appearances', 'Wins Last 10 Games', 'FG%', 'Coach Record'}
0.5764156434168539, {'Seed', 'Coach Tourney Appearances', 'Wins Last 10 Games', 'FG%'}
0.6173276702083956, {'Won a Major Conference', 'Coach Tourney Appearances', 'Wins Last 10 Games', 'FG%'}
0.6163482570353245, {'Coach Tourney Appearances', 'Wins Last 10 Games', 'Rebounds', 'FG%'}
