Winner,Loser,Winner Points,Loser points,OTs,Coach Tourney Appearances  Winner,SRS Winner,FG% Winner,RPI Winner,Adj Off Efficiency Winner,Adj Def Efficiency Winner,Adj Off-Def Winner,Strength of Schedule Winner,Win % Winner,Coach sweet 16 appearances Winner,Avg. Scoring margin Winner,Major Conference Winner,Turnovers per game Winner,Wins Last 10 Games  Winner,Coach Record Winner,Seed Winner,Points Allowed Per Game Winner,Coach final four appearance Winner,AP Poll Winner,Won a Major Conference Winner,Rebounds Winner,Coach Tourney Appearances  Loser,SRS Loser,FG% Loser,RPI Loser,Adj Off Efficiency Loser,Adj Def Efficiency Loser,Adj Off-Def Loser,Strength of Schedule Loser,Win % Loser,Coach sweet 16 appearances Loser,Avg. Scoring margin Loser,Major Conference Loser,Turnovers per game Loser,Wins Last 10 Games  Loser,Coach Record Loser,Seed Loser,Points Allowed Per Game Loser,Coach final four appearance Loser,AP Poll Loser,Won a Major Conference Loser,Rebounds Loser
West Virginia,Marshall,94,71,0,23,20.17,0.43,0.61,119.2,97.4,21.8,0.57,0.71,9,10.6,1,11.3,6,0.71,5,69,2,15,1,37.86,0,3.61,0.47,0.56,109.3,103.9,5.4,0.5,0.71,0,4.5,0,13.2,8,0.54,13,79.1,0,47,0,35.75
Villanova,Alabama,81,58,0,14,25.69,0.5,0.68,127.4,96,31.4,0.59,0.88,6,16.2,1,10.4,8,0.68,1,70.9,2,2,1,35.9,0,12.96,0.46,0.58,108.5,94.6,13.9,0.6,0.56,0,2.4,1,14.1,4,0.55,9,70,0,47,1,35.83
Duke,Rhode Island,87,62,0,33,24.95,0.49,0.64,122.6,93.5,29.1,0.58,0.79,24,15.1,1,12.6,7,0.77,2,69.6,12,9,1,41.05,1,12.18,0.46,0.61,111.7,97.3,14.4,0.55,0.78,0,8.3,0,10.8,6,0.59,7,67.9,0,28,0,34.41
Kentucky,Buffalo,95,75,0,18,17.58,0.47,0.62,116.4,96,20.4,0.59,0.71,14,6.4,1,13,7,0.78,5,70.2,4,18,1,38.68,1,7.62,0.47,0.6,114.3,103.8,10.5,0.54,0.77,0,8.2,0,12.5,8,0.62,13,76.5,0,36,0,38.56
Loyola Chicago,Tennessee,63,62,0,0,-0.25,0.51,0.62,111.3,96.2,15.1,0.51,0.85,1,9.7,0,12.2,10,0.51,11,62,0,27,0,32.16,22,8.2,0.44,0.63,114.8,92.7,22.1,0.58,0.76,6,7.8,1,12.2,7,0.65,3,66.1,1,13,1,36.06
Gonzaga,Ohio State,90,84,0,18,2.62,0.5,0.61,119.8,95.1,24.7,0.51,0.88,8,17.4,0,11.3,10,0.82,4,67.1,1,8,0,39.92,3,18.1,0.49,0.61,116.2,95,21.2,0.57,0.75,1,9.1,1,11.8,6,0.6,5,66.7,0,17,1,36.62
Kansas,Seton Hall,83,79,0,19,22.01,0.47,0.66,120.9,97.7,23.2,0.6,0.79,13,10.6,1,11.7,8,0.77,1,70.9,2,4,1,35.59,2,15.49,0.47,0.59,116.3,99,17.3,0.58,0.66,0,5.7,1,12.8,4,0.55,8,73.3,0,36,1,38.29
Texas Tech,Florida,69,66,0,1,19.57,0.46,0.61,114,92.1,21.9,0.56,0.73,1,10.5,1,12.5,5,0.72,3,64.7,0,14,1,36,1,16.81,0.43,0.58,115.1,96.4,18.7,0.58,0.63,1,6.6,1,9.8,5,0.69,6,69.4,0,23,1,35.24
Michigan,Houston,64,63,0,11,18.9,0.47,0.64,115.9,92.7,23.2,0.56,0.8,6,10.1,1,9.1,9,0.63,3,63.5,1,7,1,33.34,14,16.38,0.47,0.61,115.8,95.2,20.6,0.54,0.79,3,12.5,0,12.2,8,0.65,5,64.9,1,21,0,38.63
Purdue,CS Fullerton,74,48,0,10,24.14,0.5,0.63,123.2,96.6,26.6,0.57,0.82,4,15.5,1,10.7,6,0.68,2,65.6,0,11,1,35,0,-0.53,0.47,0.52,105,103.7,1.3,0.48,0.65,0,1,0,14.1,8,0.43,15,71.7,0,47,0,35.09
