Team Name,kaggle id,Tournament Wins,seed,points,# of wins in last 10 games,coach tourney appearances,SOS,Offensive Efficiency,Defensive Efficiency,Offensive-Defensive Effiency subtract offensive - defensive efficiency to get this column,Coach Record (overall),SRS (sports ref),FT,turnovers per game,winning %,TRB,AST,points pg,Points Allowed PG,PF,3PA (sports reference),Coaching Final Four Appearances (square root),FGA,Wins Against Tournament Teams (square root),FG%,Average Scoring Margin,Major Conference,Steals,Steals pg,KenPom Sos,True Shoot %,Terry Rank,Defensive Rebounds Per Game,Offensive Rating,Defensive Rating,TSP,Free Throw %,AP Poll,Adj. Off-Def,Strength of Schedule,Turnovers per Game,KenPom AdjEM,3PA/Min,3P%,Sagarin Predictor
Texas,1400,0,10,2637,4,6,10.93,109.4,93.9,15.5,0.67,14.44,431,11.8,0.576,1175,381,79.9,68.2,531,742,1.00,1943,2.828,0.438,3.5,1,205,,11.77,0.526,38.667,25.32352941,109.7368791,102.9874403,53.35881122,0.668,47,15.5,0.5812,11.8,15.46,0.54,0.32,84.72
Texas A&M,1401,1,7,2400,6,3,10.53,111.2,94.3,16.9,0.556,15.71,415,13.6,0.625,1323,495,75,69.8,536,645,0.00,1942,2.646,0.457,5.2,1,180,,11.34,0.536,28.222,29.03030303,111.4894387,103.5847563,54.48010689,0.667,47,16.9,0.591,13.6,16.91,0.50,0.33,85.19
Texas Tech,1403,3,3,2483,5,1,9.03,114,92.1,21.9,0.72,19.57,525,12.5,0.727,1182,447,75.2,64.7,599,634,0.00,1859,3.162,0.464,10.5,1,245,,9.26,0.561,13.222,25.02941176,114.885991,98.47038438,56.89811906,0.701,14,21.9,0.5589,12.5,21.94,0.48,0.37,88.51
TX Southern,1411,0,16,2640,8,8,-5.83,105.3,112.9,-7.6,0.594,-7.93,618,12.6,0.441,1229,417,77.6,79.7,599,732,1.00,1989,0.000,0.441,-2.1,0,190,,-6.74,0.551,277.667,25.71428571,111.554553,115.59882,55.47186673,0.719,47,47,0.4539,12.6,-7.65,0.53,0.36,64.79
UCLA,1417,-1,11,2621,6,10,7.27,116.4,102.1,14.3,0.657,12.85,509,11.8,0.656,1242,482,81.9,76.3,574,783,0.00,1964,1.414,0.461,5.6,1,183,,6.91,0.57,46.444,28.36363636,117.0960173,108.9778385,57.54706694,0.722,36,14.3,0.5606,11.8,14.38,0.60,0.38,83.4
UMBC,1420,1,16,2513,8,0,-4.98,103.4,105.3,-1.9,0.609,-3.7,395,12.1,0.706,1184,525,73.9,71,562,894,0.00,1993,0.000,0.445,1.5,0,256,,-5.63,0.551,173.111,24.25,110.1236818,108.6392548,54.77764147,0.649,47,-1.9,0.4692,12.1,-1.91,0.66,0.39,69.01
UNC Greensboro,1422,0,13,2498,9,0,-4.31,105.7,96.6,9.1,0.507,4.48,378,13.8,0.794,1262,480,73.5,63.3,628,914,0.00,2006,1.000,0.446,8.8,0,263,,-4.99,0.552,85.111,24.65625,111.3643563,98.93825592,54.80955647,0.701,47,9.1,0.4811,13.8,9.06,0.66,0.36,76.15
Villanova,1437,6,1,2960,8,14,9.53,127.4,96,31.4,0.683,25.69,462,10.4,0.882,1208,567,87.1,70.9,539,975,1.41,2092,3.464,0.504,16.2,1,227,,10.23,0.623,2.000,26.28571429,128.5818001,104.5303542,62.61166222,0.771,2,31.4,0.5888,10.4,31.41,0.71,0.40,94.67
Virginia,1438,0,1,2229,9,7,9.7,116.5,84.4,32.1,0.709,23.78,336,8.6,0.939,1077,453,67.5,53.4,559,623,0.00,1788,3.742,0.461,14.2,1,224,,9.99,0.558,1.556,24.23529412,116.3352916,92.1882119,56.39231503,0.758,1,32.1,0.5932,8.6,32.15,0.47,0.39,93.24
Virginia Tech,1439,0,8,2551,5,6,6.92,115,98.4,16.6,0.61,14.88,469,11.9,0.656,1056,528,79.7,71.8,502,727,0.00,1811,2.449,0.498,8,1,224,,8.18,0.6,31.444,25.81818182,118.6197333,106.4444732,60.54517516,0.71,41,16.6,0.5466,11.9,16.63,0.56,0.39,84.77
West Virginia,1452,2,5,2707,6,23,9.55,119.2,97.4,21.8,0.71,20.17,520,11.3,0.706,1289,512,79.6,69,725,847,1.41,2176,3.162,0.434,10.6,1,273,,10.48,0.542,16.111,23.88571429,118.0241206,104.0029719,54.63447749,0.766,15,21.8,0.5682,11.3,21.77,0.62,0.35,90.17
Wichita St,1455,0,4,2656,8,1,5.88,121.9,101.9,20,0.727,17.53,504,11.6,0.781,1291,593,83,71.3,562,758,0.00,1944,2.000,0.478,11.7,0,150,,5.55,0.585,14.778,28.78787879,116.3352916,92.1882119,56.39231503,0.738,16,20,0.5726,11.6,20.07,0.59,0.39,87.97
Wright St,1460,0,14,2453,8,3,-4.41,101.1,98.3,2.8,0.561,0.74,512,13.1,0.735,1235,451,72.1,66.2,541,682,0.00,1959,0.000,0.436,5.2,0,226,,-4.78,0.534,131.111,25.90909091,106.6876843,99.3958787,53.88112023,0.717,47,2.8,0.4704,13.1,2.81,0.50,0.34,73.38
Xavier,1462,1,1,2781,8,7,9.86,120.7,99,21.7,0.69,19.63,617,12.4,0.848,1267,549,84.3,74.5,558,699,0.00,1942,3.000,0.491,9.8,1,193,,9.62,0.601,7.222,28.76470588,122.2418481,106.4163317,61.48348033,0.79,3,21.7,0.5883,12.4,21.69,0.52,0.37,88.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,    , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,, , ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
